Participant ID,Age,County,Marital Status,Education Level,Occupation,Monthly Income,Monthly Savings,Savings Group Member,Owns Business,Business Type,Main Business Challenge,Smartphone Access,Internet Access,Number of Dependents,Monthly Health Expenses,Health Insurance,Caregiving in hours/Week,Training Received
704365,47,Kisii,Married,KCSE,Civil servant,43391,7000,Yes,No,Agriculture,No Challenge,Yes,Yes,3,1985,No,53,No
922352,41,Kisumu,Married,Graduate,Civil servant,58542,0,No,No,Agriculture,No Challenge,Yes,No,1,2693,Yes,59,Yes
560337,38,Nairobi,Married,KCSE,Small Business,22043,2500,Yes,Yes,fashion,No Capital,No,No,3,2414,Yes,33,No
824839,32,Wajir,Widowed,Diploma,Civil servant,42420,7100,Yes,No,Agriculture,No Challenge,Yes,Yes,6,1780,Yes,37,No
905889,41,Kisumu,Divorced,KCSE,Farmer,14832,0,No,No,Agriculture,No Challenge,No,No,3,1290,No,29,No
559773,42,Mombasa,Married,KCPE,Farmer,21763,0,No,Yes,Retail,High Taxes,Yes,Yes,3,1763,Yes,51,Yes
308261,49,Nyeri,Married,KCSE,Vendor,20682,3300,No,No,Agriculture,No Challenge,Yes,Yes,2,1363,No,42,Yes
864469,49,Nyeri,Married,Graduate,Civil servant,22043,0,No,No,Agriculture,No Challenge,Yes,Yes,3,1384,No,57,Yes
441097,31,Nakuru,Married,Graduate,corperative worker,52256,9100,Yes,No,Agriculture,No Challenge,Yes,Yes,1,2398,Yes,29,No
415139,42,Machakos,Married,KCSE,Small Business,38787,0,No,No,Agriculture,No Challenge,Yes,No,4,2000,No,37,No
371836,35,Kakamega,Widowed,KCSE,corperative worker,39747,6600,Yes,No,Agriculture,No Challenge,Yes,Yes,7,2646,Yes,22,Yes
538974,55,Narok,Married,KCSE,Small Business,24580,2700,No,Yes,Agriculture,High Taxes,No,No,3,1727,Yes,48,No
302283,29,Nairobi,Married,Certificate,Shop Attendant,18430,1000,Yes,No,Agriculture,No Challenge,No,Yes,3,2003,No,31,No
296769,42,Kakamega,Married,KCSE,Unemployed,1805,200,Yes,No,Agriculture,No Challenge,No,No,6,1982,No,25,No
661353,35,Kakamega,Married,KCSE,Vendor,17602,0,No,Yes,Agriculture,No Challenge,No,No,7,1335,No,57,No
323165,57,Kisumu,Married,Certificate,beauty,19998,1700,Yes,No,Agriculture,No Challenge,No,No,0,1930,No,43,No
723587,46,Wajir,Married,KCSE,Casual Labour,24080,2800,Yes,No,Agriculture,No Challenge,Yes,Yes,4,1332,Yes,47,Yes
635822,37,Mombasa,Widowed,KCSE,Unemployed,4774,900,Yes,No,Agriculture,No Challenge,No,No,6,2342,No,56,No
587879,44,Nairobi,Married,KCSE,Farmer,27134,0,No,No,Agriculture,No Challenge,No,No,3,2536,No,51,No
664685,51,Wajir,Single,Certificate,Small Business,41399,7900,No,No,Agriculture,No Challenge,Yes,No,3,1646,No,38,No
882038,62,Nakuru,Married,KCSE,Small Business,16855,0,No,Yes,Casual jobs,Poor infrastructure,Yes,Yes,5,2041,No,60,Yes
453531,37,Mombasa,Married,KCSE,Farmer,15417,2100,No,Yes,cooperation,Low Customers,Yes,Yes,5,2050,Yes,24,No
363160,57,Nairobi,Married,KCSE,Casual Labour,18085,3500,Yes,No,Agriculture,No Challenge,Yes,Yes,5,1223,No,23,No
679879,60,Nairobi,Single,KCSE,Farmer,10911,1200,Yes,No,Agriculture,No Challenge,No,No,4,1403,No,49,No
320884,59,Kakamega,Married,Diploma,corperative worker,35094,4200,Yes,No,Agriculture,No Challenge,No,No,7,2414,Yes,46,No
123247,48,Narok,Married,KCSE,Vendor,12175,0,No,Yes,Casual jobs,Poor infrastructure,No,No,3,1445,No,53,No
124300,48,Nyeri,Married,KCSE,Small Business,20179,0,No,No,Agriculture,No Challenge,No,No,5,2148,No,25,Yes
567281,42,Kisumu,Married,KCSE,Casual Labour,17992,3100,Yes,No,Agriculture,No Challenge,Yes,Yes,1,1893,No,34,Yes
707086,52,Kakamega,Widowed,KCSE,Casual Labour,20238,3900,Yes,No,Agriculture,No Challenge,Yes,Yes,2,2073,Yes,40,No
633556,45,Machakos,Married,Diploma,Small Business,23736,0,No,No,Agriculture,No Challenge,Yes,No,4,1385,No,53,No
448951,49,Nairobi,Married,KCSE,Small Business,19671,3000,Yes,No,Agriculture,No Challenge,No,No,1,2234,No,49,No
374329,43,Kakamega,Married,Certificate,Shop Attendant,17429,0,No,Yes,Casual jobs,Poor infrastructure,No,No,1,1620,Yes,24,No
819064,51,Nyeri,Divorced,KCPE,Vendor,20797,0,No,No,Agriculture,No Challenge,Yes,Yes,4,2812,Yes,33,Yes
842139,55,Nakuru,Married,Certificate,Shop Attendant,18152,0,No,No,Agriculture,No Challenge,Yes,Yes,5,1695,Yes,43,Yes
532315,34,Nakuru,Married,Diploma,corperative worker,63388,12300,Yes,No,Agriculture,No Challenge,Yes,Yes,5,1569,No,55,No
616588,55,Kisii,Married,KCSE,Casual Labour,11062,1300,Yes,No,Agriculture,No Challenge,Yes,No,4,1378,No,34,No
336584,45,Kisumu,Single,KCSE,Farmer,32933,0,No,No,Agriculture,No Challenge,No,No,3,1264,Yes,43,No
662332,55,Nairobi,Married,KCSE,Civil servant,28347,2600,Yes,No,Agriculture,No Challenge,Yes,Yes,5,2403,Yes,47,No
937646,43,Nakuru,Married,Certificate,beauty,23990,2100,Yes,No,Agriculture,No Challenge,No,Yes,6,1349,No,43,Yes
476896,41,Kisii,Divorced,KCPE,Farmer,16676,900,Yes,No,Agriculture,No Challenge,No,No,3,2401,Yes,42,No
148984,59,Nairobi,Married,KCSE,Small Business,29701,0,Yes,No,Agriculture,No Challenge,Yes,Yes,5,1838,Yes,26,No
402918,38,Nakuru,Married,KCPE,Farmer,13753,1000,Yes,Yes,Agriculture,High Competition,No,No,4,1993,No,29,No
364712,55,Narok,Married,Diploma,Civil servant,58180,5700,Yes,No,Agriculture,No Challenge,Yes,No,4,2238,Yes,52,No
220151,44,Kakamega,Married,Certificate,Small Business,20212,3000,Yes,No,Agriculture,No Challenge,Yes,No,3,1827,Yes,57,No
555808,45,Nyeri,Married,Graduate,Civil servant,48455,9100,No,No,Agriculture,No Challenge,No,No,0,1766,Yes,28,No
233767,40,Machakos,Widowed,KCPE,Casual Labour,9049,1000,Yes,No,Agriculture,No Challenge,No,No,1,2192,No,58,Yes
748663,46,Nakuru,Married,KCSE,Farmer,17530,0,No,No,Agriculture,No Challenge,Yes,Yes,3,1676,No,40,No
803550,40,Machakos,Married,KCSE,Vendor,14894,0,No,No,Agriculture,No Challenge,Yes,Yes,4,1280,No,48,No
236330,29,Machakos,Single,KCSE,Unemployed,6968,500,Yes,No,Agriculture,No Challenge,No,No,5,1947,No,48,No
580754,38,Machakos,Divorced,KCSE,Vendor,11386,0,No,No,Agriculture,No Challenge,Yes,No,5,1187,Yes,25,No
401648,25,Wajir,Married,KCSE,Vendor,17508,2600,Yes,No,Agriculture,No Challenge,Yes,No,3,1763,No,23,No
788519,64,Machakos,Married,Diploma,Civil servant,41507,0,No,No,Agriculture,No Challenge,No,No,2,1788,Yes,38,No
113986,63,Wajir,Married,KCSE,Small Business,31958,2600,Yes,Yes,beauty,Low Customers,Yes,Yes,3,1556,Yes,30,Yes
686146,42,Nyeri,Married,KCSE,Casual Labour,9665,1700,Yes,No,Agriculture,No Challenge,No,No,2,1763,No,38,Yes
229312,51,Machakos,Married,Diploma,Shop Attendant,23604,0,No,No,Agriculture,No Challenge,Yes,Yes,6,1721,Yes,26,No
112666,41,Kisii,Married,Graduate,Civil servant,45501,7100,Yes,Yes,food Vendoring,High Competition,Yes,Yes,5,1764,Yes,39,Yes
400804,49,Machakos,Married,KCSE,Unemployed,2874,400,No,Yes,Retail,High Taxes,No,No,3,1685,No,26,No
234633,54,Mombasa,Married,Graduate,Civil servant,39286,0,No,Yes,Retail,No Capital,Yes,No,0,1649,Yes,31,No
388998,61,Kisumu,Married,KCSE,Vendor,18937,3200,No,Yes,Retail,High Competition,Yes,Yes,3,1575,No,34,No
950937,42,Kisii,Married,KCSE,Farmer,18232,0,No,No,Agriculture,No Challenge,Yes,Yes,3,1971,Yes,35,No
728776,53,Narok,Married,Diploma,corperative worker,39853,7700,Yes,No,Agriculture,No Challenge,Yes,Yes,5,1668,Yes,29,Yes
807611,38,Nakuru,Married,Certificate,Shop Attendant,16268,0,No,Yes,Agriculture,High Competition,No,No,1,1569,No,35,No
384806,66,Nyeri,Married,KCSE,Small Business,33935,0,No,No,Agriculture,No Challenge,Yes,Yes,2,2459,Yes,44,No
894824,27,Nyeri,Married,Diploma,Shop Attendant,15916,3000,Yes,Yes,Agriculture,No Challenge,Yes,Yes,2,1426,No,28,No
130535,47,Mombasa,Married,KCSE,Farmer,15269,0,No,No,Agriculture,No Challenge,Yes,Yes,3,1381,No,20,Yes
475713,49,Mombasa,Single,KCSE,Vendor,19925,3200,Yes,No,Agriculture,No Challenge,Yes,Yes,4,2181,No,32,Yes
938688,50,Nairobi,Married,KCSE,Casual Labour,12337,0,No,No,Agriculture,No Challenge,No,No,1,1340,No,40,No
451279,33,Mombasa,Married,KCSE,Farmer,19541,1200,Yes,No,Agriculture,No Challenge,Yes,Yes,5,1521,Yes,45,No
921654,61,Mombasa,Married,KCSE,Farmer,20942,2400,No,No,Agriculture,No Challenge,No,No,4,1604,Yes,35,No
701661,36,Nairobi,Married,KCSE,Small Business,23643,0,No,No,Agriculture,No Challenge,Yes,Yes,7,1536,Yes,20,Yes
747972,48,Kakamega,Married,Diploma,Civil servant,42584,1300,No,Yes,Retail,High Taxes,Yes,No,6,1763,Yes,53,No
589570,37,Nyeri,Married,Diploma,corperative worker,38754,6500,Yes,Yes,beauty,Low Customers,Yes,Yes,2,1444,Yes,34,No
556551,39,Mombasa,Married,Certificate,beauty,24158,0,No,Yes,Casual jobs,No Capital,Yes,Yes,6,2035,No,22,No
373109,46,Nakuru,Married,KCSE,Small Business,47312,0,No,No,Agriculture,No Challenge,Yes,Yes,3,1542,Yes,33,Yes
124538,42,Nairobi,Divorced,Certificate,beauty,22350,0,No,No,Agriculture,No Challenge,Yes,Yes,4,2344,No,54,No
994498,35,Kisii,Married,KCSE,Unemployed,3920,0,No,No,Agriculture,No Challenge,No,No,6,2389,No,39,No
301664,35,Kisii,Married,Graduate,corperative worker,49760,1300,Yes,Yes,beauty,High Competition,Yes,Yes,3,1529,Yes,53,Yes
591234,42,Wajir,Married,KCSE,Vendor,22841,3700,Yes,No,Agriculture,No Challenge,Yes,Yes,4,1899,No,46,No
999684,52,Kakamega,Divorced,KCSE,Small Business,33456,0,No,Yes,Retail,Low Customers,Yes,No,5,2247,Yes,55,No
239182,58,Kisii,Divorced,Diploma,Civil servant,28256,0,No,No,Agriculture,No Challenge,Yes,Yes,3,1270,Yes,51,No
572525,31,Mombasa,Married,Diploma,Civil servant,41682,0,No,No,Agriculture,No Challenge,Yes,Yes,5,1862,Yes,50,No
258338,42,Nyeri,Married,KCSE,Casual Labour,19931,0,No,Yes,Casual jobs,High Taxes,Yes,Yes,4,2734,No,25,No
284064,32,Wajir,Married,KCSE,Small Business,29085,3000,Yes,No,Agriculture,No Challenge,No,No,5,1617,Yes,52,No
723094,49,Nairobi,Married,KCSE,Casual Labour,12898,800,Yes,Yes,Casual jobs,High Taxes,No,No,7,2218,No,48,No
997421,47,Kisumu,Married,Certificate,beauty,20909,2200,No,Yes,Casual jobs,High Taxes,No,No,2,2122,No,40,No
715270,35,Kisumu,Widowed,KCSE,Casual Labour,19988,0,No,Yes,Agriculture,Poor infrastructure,Yes,Yes,6,2611,No,59,Yes
745914,37,Mombasa,Married,KCSE,Casual Labour,15596,0,No,Yes,fashion,High Taxes,Yes,Yes,4,2164,No,44,No
219176,44,Kisumu,Single,KCPE,Farmer,21842,0,No,No,Agriculture,No Challenge,No,No,5,2552,Yes,34,Yes
318126,55,Kisumu,Married,KCSE,Unemployed,2488,0,No,No,Agriculture,No Challenge,Yes,Yes,4,1480,No,43,Yes
318969,64,Kisii,Married,KCSE,Farmer,12756,0,No,Yes,food Vendoring,Poor infrastructure,No,No,4,1892,No,27,Yes
222409,34,Narok,Married,KCSE,Unemployed,1097,100,No,Yes,Retail,Low Customers,Yes,No,3,1634,No,40,No
647707,37,Wajir,Married,KCSE,Small Business,26534,3300,Yes,Yes,Agriculture,High Competition,No,No,2,2087,No,39,No
353618,57,Kisumu,Married,KCSE,Casual Labour,11729,2000,Yes,No,Agriculture,No Challenge,No,No,4,1389,No,40,No
869598,60,Kakamega,Married,KCSE,Casual Labour,10624,900,Yes,Yes,Casual jobs,High Taxes,No,No,7,1423,No,55,No
150015,42,Nakuru,Single,KCSE,Vendor,16477,0,No,Yes,Agriculture,High Competition,Yes,Yes,1,1360,No,54,Yes
872838,29,Wajir,Married,Graduate,corperative worker,52964,3700,No,Yes,Retail,No Capital,Yes,No,6,1519,Yes,57,No
222096,29,Kakamega,Married,KCSE,Unemployed,1080,200,No,Yes,beauty,Low Customers,Yes,Yes,2,1431,No,26,Yes
731347,46,Nakuru,Married,KCSE,Unemployed,2853,300,Yes,No,Agriculture,No Challenge,No,No,1,2176,No,43,No
285340,42,Kisumu,Single,KCSE,Vendor,23539,0,No,Yes,Retail,High Competition,Yes,Yes,7,1886,No,31,Yes
210687,28,Narok,Married,Diploma,corperative worker,40528,0,No,Yes,Retail,No Capital,Yes,Yes,6,1626,No,35,No
974371,47,Machakos,Married,KCSE,Farmer,22043,2300,Yes,No,Agriculture,No Challenge,Yes,Yes,2,1453,No,36,No
511357,44,Nairobi,Married,KCSE,Casual Labour,20211,1600,Yes,No,Agriculture,No Challenge,Yes,Yes,4,2231,Yes,60,Yes
835716,53,Kakamega,Married,KCPE,Casual Labour,16675,0,No,No,Agriculture,No Challenge,No,Yes,4,2400,No,54,No
205878,39,Nairobi,Single,Certificate,Small Business,36137,1900,Yes,No,Agriculture,No Challenge,Yes,Yes,2,2335,No,42,No
827270,29,Wajir,Married,Certificate,fashion,21021,0,No,No,Agriculture,No Challenge,No,No,2,2524,No,41,Yes
298286,47,Kisii,Married,KCSE,Small Business,48250,0,No,No,Agriculture,No Challenge,Yes,No,4,2240,No,34,No
873290,42,Kisumu,Married,KCSE,Farmer,14741,0,No,No,Agriculture,No Challenge,No,No,5,1950,No,44,No
874684,64,Machakos,Married,KCSE,Farmer,30898,2200,Yes,No,Agriculture,No Challenge,Yes,Yes,1,1692,No,39,No
264899,45,Kisumu,Married,KCSE,Vendor,25152,2600,Yes,No,Agriculture,No Challenge,Yes,No,3,1540,No,24,No
424767,39,Kisumu,Married,Certificate,Shop Attendant,20161,3600,Yes,No,Agriculture,No Challenge,Yes,Yes,3,1079,Yes,48,No
961882,50,Nyeri,Married,KCPE,Casual Labour,15938,0,No,No,Agriculture,No Challenge,No,No,5,2290,Yes,23,No
979858,38,Kisii,Married,KCSE,Farmer,25028,0,No,No,Agriculture,No Challenge,Yes,No,5,1699,No,51,No
479989,58,Kakamega,Married,KCSE,Small Business,24310,0,No,No,Agriculture,No Challenge,Yes,Yes,6,2380,No,44,No
515515,41,Mombasa,Married,Certificate,Shop Attendant,19897,2500,Yes,No,Agriculture,No Challenge,No,No,6,1573,No,56,No
143585,46,Mombasa,Married,Certificate,beauty,36135,1900,Yes,No,Agriculture,No Challenge,Yes,Yes,4,1590,Yes,44,No
471369,29,Wajir,Married,Diploma,Civil servant,32837,2000,No,No,Agriculture,No Challenge,Yes,Yes,6,1145,Yes,27,No
164044,43,Narok,Single,KCSE,Casual Labour,20675,0,No,No,Agriculture,No Challenge,Yes,Yes,3,1757,Yes,40,No
542296,55,Kisumu,Married,KCSE,Farmer,24051,4500,Yes,No,Agriculture,No Challenge,Yes,Yes,6,1761,Yes,41,No
209556,54,Wajir,Married,KCSE,Farmer,24913,0,No,Yes,beauty,Poor infrastructure,Yes,No,3,1982,No,58,No
626981,37,Nairobi,Married,KCSE,Unemployed,1017,0,No,Yes,Casual jobs,High Competition,Yes,Yes,5,2133,Yes,38,Yes
981691,37,Kakamega,Divorced,KCPE,Farmer,15628,2600,Yes,No,Agriculture,No Challenge,Yes,Yes,4,1600,No,44,No
867595,54,Kakamega,Single,KCSE,Casual Labour,22043,1800,Yes,No,Agriculture,No Challenge,Yes,Yes,4,2533,Yes,23,No
300235,60,Kisii,Married,KCPE,Unemployed,1408,100,No,No,Agriculture,No Challenge,No,No,3,1722,No,51,No
125939,44,Mombasa,Married,Graduate,Civil servant,49630,3900,No,Yes,food Vendoring,High Taxes,Yes,No,2,1869,Yes,55,No
252906,43,Mombasa,Married,Certificate,beauty,31773,0,No,No,Agriculture,No Challenge,Yes,Yes,4,1896,No,54,No
642335,40,Wajir,Married,KCSE,Small Business,22688,3000,No,No,Agriculture,No Challenge,No,No,4,2391,Yes,51,No
388249,57,Nyeri,Married,KCSE,Small Business,33084,0,No,No,Agriculture,No Challenge,Yes,Yes,3,2040,No,35,No
175766,31,Mombasa,Married,KCSE,Small Business,17691,2700,Yes,No,Agriculture,No Challenge,Yes,Yes,3,1607,No,44,Yes
508923,37,Nyeri,Single,KCSE,Farmer,20115,1300,No,No,Agriculture,No Challenge,No,No,4,2061,No,48,No
515192,52,Nyeri,Married,KCSE,Small Business,24853,2900,No,No,Agriculture,No Challenge,Yes,No,4,2432,No,25,No
668550,29,Kakamega,Married,KCSE,Casual Labour,16624,0,No,No,Agriculture,No Challenge,Yes,Yes,2,2269,No,34,No
487261,44,Kisii,Married,Diploma,Civil servant,58825,7700,Yes,Yes,Agriculture,High Taxes,Yes,Yes,4,1217,Yes,26,No
910208,43,Wajir,Married,KCSE,Casual Labour,10976,1500,Yes,No,Agriculture,No Challenge,No,Yes,7,1257,No,38,No
785440,40,Nakuru,Widowed,KCSE,Vendor,18514,1000,Yes,No,Agriculture,No Challenge,Yes,Yes,5,2018,No,44,No
